Drop off location,Stake,Ward,No. of Volunteers-adults,No. of Volunteers-youth,No. of bags collected,Time taken,No. of homes,Did multiple routes,No. of routes,Neighbourhood,ID,Latitude,Longitude
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,20,20,179.0,No,1,Blackmud Creek,1.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,15,45,135.0,No,1,Blackmud Creek,4.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,3,55,47,165.0,No,1,Blackmud Creek,12.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,35,60,148.0,No,1,Blackmud Creek,13.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,6,5,48,49,162.0,No,1,Blackmud Creek,16.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,15,60,100.0,No,1,Blackmud Creek,17.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,1,20,60,147.0,No,1,Blackmud Creek,20.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,3,37,60,206.0,No,1,Blackmud Creek,31.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,4,18,45,154.0,No,1,Blackmud Creek,34.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,3,50,45,240.0,No,1,Blackmud Creek,36.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,0,30,45,171.0,No,1,Blackmud Creek,45.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,4,5,14,30,,No,1,Blackmud Creek,,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,0,8,30,60.0,No,1,Blackmud Creek,47.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,4,9,32,75,178.0,No,1,Blackmud Creek,50.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,1,4,41,25,260.0,No,1,Blackmud Creek,55.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,3,42,30,95.0,No,1,Blackmud Creek,56.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,4,19,20,109.0,Yes,2,Blackmud Creek,57.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,1,4,12,20,178.0,Yes,2,Blackmud Creek,58.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,1,4,13,35,177.0,No,1,Blackmud Creek,62.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,19,45,100.0,No,1,Blackmud Creek,66.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,32,60,174.0,No,1,Blackmud Creek,67.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,16,20,67.0,No,1,Blackmud Creek,68.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,20,60,123.0,No,1,Blackmud Creek,69.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,3,49,60,241.0,Yes,2,Blackmud Creek,70.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,0,21,40,109.0,No,1,Blackmud Creek,71.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,25,10,190.0,No,1,Blackmud Creek,72.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,3,4,40,35,155.0,No,1,Blackmud Creek,73.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Blackmud Creek Ward,2,2,25,75,202.0,No,1,Blackmud Creek,74.0,53.422841083065805,-113.50734992642948
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,5,3,24,40,157.0,No,1,Lee Ridge,3.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,3,37,30,144.0,Yes,2,Lee Ridge,5.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,2,0,8,60,162.0,No,1,Lee Ridge,7.0,53.4723207293446,-113.45028784542112
Bearspaw Chapel,Gateway Stake,Lee Ridge Ward,1,0,15,45,15.0,No,1,Lee Ridge,9.0,53.4723207293446,-113.45028784542112
